Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 13:50:58,2022-04-07 13:52:21,1m - 22.831s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 13:51:00,2022-04-07 13:52:03,1m - 3.163s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 13:51:03,2022-04-07 13:51:04,0.201s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 13:51:04,2022-04-07 13:51:04,0.035s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:51:04,2022-04-07 13:51:44,40.398s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 13:51:44,2022-04-07 13:51:44,0.257s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 13:51:44,2022-04-07 13:51:46,1.619s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 13:51:46,2022-04-07 13:51:50,3.867s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 13:51:50,2022-04-07 13:51:52,2.537s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 13:51:52,2022-04-07 13:51:54,1.800s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 13:51:54,2022-04-07 13:51:57,2.668s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 13:51:57,2022-04-07 13:51:57,0.026s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 13:51:57,2022-04-07 13:51:59,1.759s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.75,,,2022-04-07 13:51:59,2022-04-07 13:51:59,0.004s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.75,,,2022-04-07 13:51:59,2022-04-07 13:51:59,0.676s,PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-07 13:51:59,2022-04-07 13:52:01,1.284s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:52:01,2022-04-07 13:52:01,0.197s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:52:03,2022-04-07 13:52:03,0.002s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 13:52:03,2022-04-07 13:52:21,17.935s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:11,2022-04-07 13:52:11,0.006s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:11,2022-04-07 13:52:11,0.005s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:52:11,2022-04-07 13:52:18,7.389s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:52:18,2022-04-07 13:52:19,0.389s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:52:21,2022-04-07 13:52:21,0.001s,PASSED
